Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Houses Damaged,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged
142,NA,NA,NA,NA,NA,27,NA,GREECE:  RHODES,36.7,28,NA,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,10,NA,NA,NA,NA,NA,NA,CHINA:  GANSU PROVINCE,34.7,105.3,NA,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,9,NA,NA,NA,NA,NA,NA,CHINA:  GANSU PROVINCE,39.4,99.5,NA,7.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,NA,NA,NA,NA,0,NA,NA,"ITALY:  VERONA,BENACO",45.3,11,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,7,NA,NA,NA,NA,NA,NA,CHINA:  ANHUI PROVINCE:  SHOUXIAN,32.6,116.8,NA,5.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,9,NA,NA,NA,NA,NA,NA,CHINA:  BEIJING,40.3,116,NA,5.5,7,101,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA
304,NA,NA,NA,NA,0,NA,NA,SOUTH KOREA:  KYONGJU,35.5,129.1,NA,6.3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319,6,17,NA,NA,NA,NA,NA,CHINA:  GANSU PROVINCE:  XIHE,34.1,105.3,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,NA,NA,NA,NA,NA,3474,NA,ALBANIA:  DURRES (DYRRACHIUM),41.4,19.4,NA,6.8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
362,5,24,NA,NA,NA,37,NA,JORDAN:  AL-KARAK,31.3,35.6,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365,7,21,NA,NA,NA,38,NA,GREECE:  CRETE:  KNOSSOS,35,23,NA,8,11,NA,NA,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA
368,NA,NA,NA,NA,NA,3475,NA,TURKEY:  MARMARA SEA,40.5,29.6,NA,6.4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
382,NA,NA,NA,NA,NA,4273,NA,PORTUGAL:  CABO SAN VICENTE:  SW,36,-10.83,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
407,4,1,NA,NA,NA,2315,NA,TURKEY:  MARMARA SEA,41,29,NA,6.6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427,NA,NA,NA,NA,0,NA,NA,AZERBAIJAN,40.5,46.5,12,6.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
447,1,26,NA,NA,NA,41,NA,TURKEY:  ISTANBUL (CONSTANTINOPLE),40.9,28.5,NA,7.3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,9,25,NA,NA,NA,2317,NA,TURKEY:  MARMARA SEA,40.8,29.2,NA,7.2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,NA,NA,NA,NA,0,NA,NA,KAZAKHSTAN,42.7,76.5,20,6.7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
501,NA,NA,NA,NA,NA,NA,NA,NORTH KOREA:  PYONGYANG,39,125.3,NA,6.3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
510,NA,NA,NA,NA,0,NA,NA,SOUTH KOREA:  KYONGJU,35.5,129.1,NA,6.3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
512,5,21,NA,NA,NA,NA,NA,CHINA:  SHAANXI PROVINCE:  YINGXIAN,39.4,113.3,NA,7.5,10,5130,NA,2720,NA,NA,NA,5130,NA,2720,NA,NA,NA
525,5,29,NA,NA,NA,NA,NA,"TURKEY:  ANTAKYA (ANTIOCH), SAMANDAG",36.25,36.1,NA,7,9,250000,NA,NA,NA,NA,NA,250000,NA,NA,NA,NA,NA
528,11,29,NA,NA,NA,NA,NA,TURKEY:  ANTAKYA (ANTIOCH),36.25,36.1,NA,7.1,10,4870,NA,NA,NA,NA,NA,4870,NA,NA,NA,NA,NA
543,NA,NA,NA,NA,NA,43,NA,TURKEY:  CYZICUS,40.3,27.8,NA,6.8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
551,7,7,NA,NA,NA,5586,NA,"GREECE:  SCHISMA, BOETIA",38.4,22.3,NA,7.1,9,5000,NA,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA
551,7,9,NA,NA,NA,47,NA,LEBANON:  BAYRUT (BEIRUT),33.9,35.5,NA,7.3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
551,7,9,NA,NA,NA,47,NA, EGYPT,33.9,35.5,NA,7.3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
551,7,9,NA,NA,NA,47,NA, IRAQ,33.9,35.5,NA,7.3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
551,7,9,NA,NA,NA,47,NA,SAUDI ARABIA,33.9,35.5,NA,7.3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,8,15,NA,NA,NA,48,NA,GREECE: KOS,36.8,27.3,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
557,NA,NA,NA,NA,NA,2286,NA,TURKEY:  ISTANBUL (CONSTANTINOPLE),40.9,27.6,NA,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558,12,14,NA,NA,NA,49,NA,TURKEY,40.9,28.8,NA,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
649,9,12,NA,NA,NA,NA,NA,CHINA:  SHAANXI PROVINCE:  LINFEN,36.1,111.5,NA,5.5,7,50,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA
664,9,12,NA,NA,0,NA,NA,SOUTH KOREA:  KYONGJU,35.5,129.1,NA,6.3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
684,11,29,NA,NA,NA,53,NA,JAPAN,32.5,134,NA,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
701,5,12,NA,NA,NA,54,NA,JAPAN:  KYOTO PREFECTURE,35.7,135.4,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
704,8,2,NA,NA,NA,55,NA,JAPAN:  KUMANONADA,33.8,136.7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
734,3,19,NA,NA,NA,NA,NA,CHINA:  GANSU PROVINCE:  TIANSHUI,34.6,105.6,NA,7,9,101,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA
735,6,21,NA,NA,0,NA,NA,ARMENIA:  BAYOTSDZOR,39.7,45.5,16,5.8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
740,10,26,NA,NA,NA,56,NA,TURKEY:  ISTANBUL (CONSTANTINOPLE),40.7,29.3,NA,7.3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
743,NA,NA,NA,NA,NA,NA,NA,IRAN:  EIVAN-E-KAY,35.3,52.2,NA,7.2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
743,NA,NA,NA,NA,NA,NA,NA,RUSSIA:  CASPIAN SEA,42.1,48.2,20,5.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,6,30,NA,NA,NA,57,NA,"JAPAN:  SHIMABARA, YATSUSHIRO, HIGO",32.4,130.5,NA,6.4,NA,NA,NA,NA,NA,NA,NA,1520,NA,NA,NA,470,NA
745,6,5,NA,NA,NA,NA,NA,JAPAN:  MINO,35.5,136.9,NA,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745,6,9,NA,NA,NA,58,NA,JAPAN: OSAKA BAY,34.6,135.3,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746,1,18,NA,NA,0,59,NA,"ISRAEL:  TEVERYA (TIBERIAS), ARIHA (JERICHO)",32,35.5,NA,7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
763,NA,NA,NA,NA,NA,NA,NA,IRAN:  KHURASAN,33.3,59.3,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
766,7,20,NA,NA,NA,61,844,JAPAN:  N. KAGOSHIMA BAY,31.6,130.7,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
