Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Houses Damaged,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged
1838,1,23,18,36,NA,5841,NA,"ROMANIA:  CARPATHIAN FOLD,VRANCEA",45.7,26.6,150,6.9,8,42,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA
1838,6,NA,NA,NA,NA,NA,NA,"CALIFORNIA:  SAN FRANCISCO,SAN JOSE,SANTA CLARA",37.6,-122.4,NA,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1838,8,10,20,30,NA,3296,NA,BALKANS NW:  CROATIA,45.2,14.5,NA,5.3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,1,11,9,55,0,5864,NA,"MARTINIQUE:  FORT-DE-FRANCE, ST PIERRE",14.9,-60.6,33,7.8,9,390,NA,NA,NA,NA,NA,390,NA,NA,NA,NA,NA
1839,1,11,9,55,0,5864,NA, CASTRIES,14.9,-60.6,33,7.8,9,390,NA,NA,NA,NA,NA,390,NA,NA,NA,NA,NA
1839,2,7,NA,NA,NA,NA,NA,CHINA:  YUNNAN PROVINCE,26.1,99.9,NA,6,8,100,NA,NA,NA,600,NA,100,NA,NA,NA,600,NA
1839,2,23,NA,NA,NA,NA,NA,CHINA:  YUNNAN PROVINCE,26.1,99.9,NA,6,8,129,NA,18,NA,1667,NA,129,NA,18,NA,1667,NA
1839,5,1,NA,NA,NA,713,NA,"SE. HOKKAIDO ISLAND, JAPAN",42.5,145,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,6,27,NA,NA,NA,NA,NA,TAIWAN: JIAYI,23.4,120.4,NA,6.5,8,117,NA,534,NA,6600,NA,117,NA,534,NA,6600,NA
1840,1,4,NA,NA,NA,715,NA,INDONESIA:  JAVA:  PURWOREJO,-8,110.5,150,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,3,22,NA,NA,NA,719,NA,"PHILIPPINES:  SORSOGON,MASBATE IS,CASIGURAN,ALBAY",12.9,123.9,NA,6.5,9,17,NA,200,NA,NA,NA,52,NA,200,NA,NA,NA
1840,7,2,16,NA,NA,NA,NA,"TURKEY:  MT ARARAT, AGURI, ARALIKH",39.7,44.4,NA,6.7,9,1049,NA,NA,NA,NA,NA,1049,NA,NA,NA,NA,NA
1840,7,2,16,NA,NA,NA,NA, IRAN:  MAKU,39.7,44.4,NA,6.7,9,1049,NA,NA,NA,NA,NA,1049,NA,NA,NA,NA,NA
1840,8,27,12,5,0,NA,NA,BALKANS NW:  SLOVENIA:  LJUBLJANA,46.2,14.7,8,4.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,11,11,NA,NA,NA,2355,NA,PENNSYLVANIA:  PHILADELPHIA,39.8,-75.2,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1841,5,17,21,30,NA,723,NA,RUSSIA:  OFF KAMCHATKA,52,158,30,8.4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1841,12,16,NA,NA,NA,725,NA,INDONESIA:  BANDA SEA,-4,127.5,NA,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1842,1,2,NA,NA,0,NA,NA,AZERBAIJAN:  APSCHERON PENINSULA,40.5,50,3,4.3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1842,5,7,21,NA,NA,726,NA,HAITI:  CAP-HAITIEN,19.75,-72.2,NA,8.1,NA,5000,NA,NA,NA,NA,NA,5300,NA,NA,NA,NA,NA
1842,6,11,NA,NA,NA,NA,NA,CHINA: XINJIANG PROVINCE,43.6,93,NA,7,9,NA,NA,NA,NA,5460,NA,NA,NA,NA,NA,5460,NA
1842,11,11,NA,NA,NA,727,NA,BANGLADESH:,24,89.25,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1843,1,5,NA,NA,NA,728,NA,SW. SUMATRA,1.5,98,70,7.3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1843,2,7,NA,NA,NA,729,NA,INDONESIA:  JAVA:  GENTENG ISLAND,-7.2,114,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1843,2,8,14,50,0,730,NA,GUADELOUPE:  POINTE-A-PITRE,16.5,-62.2,33,8.3,9,5000,NA,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA
1843,4,25,NA,NA,NA,732,NA,"JAPAN:  HOKKAIDO: YEZO, KUSHIRO, NEMURO",42,146,NA,8.4,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,75,NA
1843,7,8,5,5,NA,733,NA,NEW ZEALAND:  WANGANUI,-39.9,175,33,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1843,9,14,10,30,NA,735,NA,BALKANS NW:  CROATIA:  DUBROVNIK,42.6,18.1,NA,6.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1844,5,12,NA,NA,NA,NA,NA,"IRAN:  KASHAN, QAMSAR, KAMU, KUSHIAN, CHUKA",33.6,51.4,NA,6.4,NA,1500,NA,NA,NA,NA,NA,1500,NA,NA,NA,NA,NA
1844,5,13,NA,NA,NA,NA,NA,"IRAN:  MIYANEH, GARMRUD, ESFAHAN",37.4,48,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1844,5,NA,NA,NA,NA,5667,NA,"NICARAGUA: RIVAS, GREYTOWN",11.2,-84.8,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1845,2,8,7,30,NA,741,489,"INDONESIA:  N SULAWESI:  MENADO, TIKALA, TOMOHON",1.48,124.85,NA,7,9,118,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,NA
1845,2,19,NA,NA,NA,NA,3833,COLOMBIA:  MAGDALENA RIVER,4.5,-75.4,NA,4,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA
1845,2,NA,NA,NA,NA,NA,NA,TAIWAN:  ZHANGHUA,24.1,120.5,NA,6,8,380,NA,NA,NA,4000,NA,380,NA,NA,NA,4000,NA
1845,4,7,NA,NA,NA,742,NA,MEXICO:  MEXICO CITY,17,-100.6,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1845,6,19,NA,NA,NA,743,NA,INDIA:  RANN OF KUTCH,23.583,68.367,NA,6.3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1845,12,21,20,40,0,NA,NA,BALKANS NW:  SLOVENIA:  LJUBLJANA,46.1,14.5,7,4.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1846,1,25,0,0,NA,749,NA,INDONESIA:  N. MOLUCCAS ISLANDS,2,126.5,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1846,3,NA,NA,NA,NA,750,NA,"SANRIKU, JAPAN",39.5,142.5,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1846,6,28,1,15,NA,NA,NA,PERU,-14,-76.8,50,7.9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1846,8,14,12,35,NA,3313,NA,"ITALY:  ORCIANO, LUCIANA",43.4,10.6,5,6.1,10,56,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA
1846,12,10,NA,NA,0,NA,NA,INDIA,26,93,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1847,5,8,NA,NA,NA,NA,NA,"JAPAN:  ZENKOJI, NAGANO",37,138,NA,7.4,NA,12000,NA,NA,NA,34000,NA,12000,NA,NA,NA,34000,NA
1847,6,21,NA,NA,0,NA,NA,RUSSIA:  KURIL ISLANDS,46,152,40,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1847,10,8,NA,NA,NA,NA,NA,CHILE:  COQUIMBO,-31.61,-71.18,NA,7.3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1848,7,12,NA,NA,NA,759,NA,FRENCH POLYNESIA:  TAHITI,-17.9,-149.9,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1848,10,15,14,10,NA,760,NA,NEW ZEALAND:  N.,-41.3,174.5,NA,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1848,10,18,17,33,NA,5486,NA,"NEW ZEALAND:  AWATERE RIVER, MARLBOROUGH",-41.67,174,NA,6,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
1848,12,3,NA,NA,NA,NA,NA,TAIWAN: ZHANGHUA,24.1,120.5,NA,6.8,9,1001,NA,NA,NA,20300,NA,1001,NA,NA,NA,20300,NA
1849,1,25,5,10,NA,763,NA,GUAM,14,143.3,NA,7.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,2,26,9,30,NA,NA,NA,VENEZUELA:  TACHIRA (LOBATERA),7.3,-72.3,13,6,9,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,10,28,9,0,NA,NA,NA,RUSSIA:  KOMANDORSKY ISLAND,55,166,20,7.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,11,17,10,10,NA,772,NA,CHILE:  COQUIMBO,-29.95,-71.37,NA,7.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,9,12,NA,NA,NA,NA,NA,CHINA:  SICHUAN:  XICHANG,27.8,102.3,NA,7.5,10,20650,NA,NA,NA,NA,NA,20650,NA,NA,NA,NA,NA
1850,NA,NA,NA,NA,NA,NA,NA,CHINA:  GANSU PROVINCE:  WUSBAN,34.7,104.9,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,2,2,10,NA,NA,NA,NA,COLOMBIA:  CARTAGENA,10.4,-76.4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,2,28,15,NA,NA,775,NA,TURKEY:  FETHIYE,36.5,29,NA,7.1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,2,28,15,NA,NA,775,NA, GREECE:  RHODES,36.5,29,NA,7.1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,4,2,10,48,NA,777,NA,CHILE:  VALPARAISO,-33.32,-71.42,NA,7.1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,5,26,18,14,NA,783,NA,CHILE:  COPIAPO,-27.35,-70.35,NA,7.2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,10,12,6,NA,NA,784,NA,"ALBANIA:  VLORE (VALONA),BERAT",40.5,19.7,NA,6.6,11,2000,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA
1851,10,12,6,NA,NA,784,NA, TURKEY,40.5,19.7,NA,6.6,11,2000,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA
1852,1,9,NA,NA,NA,5454,NA,INDONESIA:  JAVA: DJAKARTA,-6.5,105.5,150,6.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1852,1,9,NA,NA,NA,5454,NA, SUMATRA: TELUKBETUNG,-6.5,105.5,150,6.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1852,2,22,NA,NA,0,NA,NA,IRAN:  KHABUSHAN (NW KUCHAN),37.1,58.4,10,5.8,9,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1852,5,26,NA,NA,NA,NA,NA,CHINA: NINGXIA,37.5,105.2,NA,6,8,300,NA,400,NA,20000,NA,300,NA,400,NA,20000,NA
1852,7,24,NA,NA,0,NA,NA,TURKEY,39.9,41.3,NA,7.3,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1852,9,16,10,45,NA,790,NA,"PHILIPPINES:  LUZON:  BATAAN, RIZAL, PAMPANGA,MANILA",14,120.5,NA,7.5,9,3,NA,1,NA,NA,NA,3,NA,1,NA,NA,NA
1852,11,11,0,0,NA,794,NA,INDONESIA:  SUMATRA:  SIBOLGA,1.5,98,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1852,11,25,22,40,NA,799,NA,INDONESIA:  MALUKU:  BANDANAIRA,-5.25,129.75,100,8.3,9,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA
1852,11,29,NA,NA,NA,802,NA,N. MEXICO,32.5,-115.5,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1852,12,24,NA,NA,NA,804,NA,INDONESIA:  BANDANEIRA,-5,130.5,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853,7,15,NA,NA,NA,807,NA,VENEZUELA:  CUMANA,10.5,-64.2,14,6.7,9,1000,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA
1853,12,11,16,15,NA,3376,NA,BALKANS NW:  MONTENEGRO,42.4,18.6,NA,5.3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854,1,4,NA,NA,NA,815,NA,INDONESIA:  BANDA SEA,-3.5,128.6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854,8,5,5,30,NA,824,NA,COSTA RICA-PANAMA,8.5,-83,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854,8,7,NA,NA,NA,825,NA,COSTA RICA-PANAMA,8.5,-83,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854,9,22,NA,NA,NA,NA,NA,"IRAN:  TABRIZ, KHVOY (KHOI)",38.06,45.03,NA,4.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854,12,23,0,46,NA,835,NA,JAPAN:  ENSHUNADA SEA,34,137.9,NA,8.3,NA,300,NA,NA,NA,600,NA,1000,NA,NA,NA,8900,NA
1854,12,24,8,0,0,837,NA,JAPAN:  NANKAIDO,33.1,135,NA,8.4,NA,NA,NA,NA,NA,10000,NA,3000,NA,NA,NA,20000,15000
1854,12,24,NA,NA,NA,NA,NA,CHINA: SICHUAN PROVINCE,29.1,107.1,NA,5.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1855,1,23,9,NA,NA,839,NA,"NEW ZEALAND:  WELLINGTON,WAIOURU,WANGANUI,OTAKI",-41.25,175,33,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1855,2,11,12,0,NA,5507,NA,NEW ZEALAND,-39.2,177.6,25,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1855,2,28,1,NA,NA,NA,NA,"TURKEY:  TAYABAS, BURSA",40.2,29.1,NA,6.7,10,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1855,4,29,NA,NA,NA,NA,NA,TURKEY:  BURSA,40.2,29.1,NA,6.7,NA,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1855,7,11,4,15,NA,846,NA,CALIFORNIA:  LOS ANGELES,34.1,-118.1,NA,6,8,NA,NA,NA,NA,1,26,NA,NA,NA,NA,1,26
1855,11,7,NA,NA,NA,850,NA,ENSHUNADA,34.5,137.6,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1855,11,11,NA,NA,NA,851,NA,JAPAN:  TOKYO,35.65,139.8,NA,7,NA,6757,NA,NA,NA,50000,NA,6757,NA,NA,NA,50000,NA
1855,12,3,NA,NA,NA,5426,NA,JAPAN:  NANKAIDO,32.5,134.5,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1855,12,11,NA,NA,NA,NA,NA,CHINA:  LIAONING PROVINCE,39.1,121.6,NA,5.5,7,7,NA,NA,NA,560,NA,7,NA,NA,NA,560,NA
1855,NA,NA,NA,NA,NA,3567,NA,CHINA:  SICHUAN PROVINCE,29.2,108.1,NA,4.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856,2,15,13,25,NA,856,NA,CALIFORNIA:  NORTHERN,37.5,-122.3,NA,5.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856,6,10,NA,NA,NA,NA,NA,CHINA:  HUBEI PROVINCE,29.7,108.8,NA,5.5,7,300,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA
1856,8,4,NA,NA,NA,2377,NA,HONDURAS:  COAST,16,-88,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856,8,23,NA,NA,NA,864,NA,JAPAN:  OSHIMA,40.5,143.5,NA,8,5,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,193,238
1856,11,13,NA,NA,NA,867,NA,GREECE:  CHIOS (E SPORADES),38.25,26.25,NA,6.6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1857,1,6,19,0,NA,3639,NA,"SOUTH SUDAN:  GONDOKORO, ILENGWE",4.5,31.5,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1857,1,9,10,13,0,NA,NA,CALIFORNIA: SAN LUIS OBISPO,35.717,-120.317,NA,7.9,7,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
1857,4,9,NA,NA,NA,NA,NA,TURKEY:  HINIS,38.4,42.1,NA,6.7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1857,4,17,NA,NA,NA,869,4906,PAPUA NEW GUINEA:  BISMARCK SEA,-5.5,147,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1857,5,13,NA,NA,NA,870,NA,"INDONESIA:  TIMOR ISLAND::  DILHI, GERA",-8,115.5,50,7,NA,36,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA
1857,7,13,22,NA,NA,871,NA,"TOKAIDO, JAPAN",34.8,138.3,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1857,12,16,21,18,NA,NA,NA,"ITALY:  CAMPANIA, POTENZA",40.3,16,NA,6.5,10,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858,1,22,NA,NA,NA,NA,NA,RUSSIA:  KOMANDORSKY ISLAND,55,166,20,7.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858,4,24,11,15,NA,875,NA,CHILE:  LA SERENA,-30,-71.4,NA,6.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858,12,13,NA,NA,NA,879,NA,INDONESIA:  N. MOLUCCAS ISLANDS,1,126,NA,7.3,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
1859,6,2,8,NA,0,NA,NA,TURKEY:  ERZURUM,39.9,41.3,NA,6.1,NA,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859,6,11,13,NA,0,NA,NA,AZERBAIJAN:  SHEMAKHA (SEMACHA),40.7,48.5,10,5.9,9,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859,6,28,NA,NA,NA,880,NA,INDONESIA:  N. MOLUCCAS ISLANDS,1,126.5,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859,7,29,NA,NA,NA,882,NA,INDONESIA:  SULAWESI,0.009,125.5,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859,8,21,11,55,NA,3381,NA,"TURKEY:  IMBROS (IMROZ), LEMNOS",40.2,25.8,NA,6.9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859,8,25,NA,NA,NA,884,NA,EL SALVADOR:  LA UNION,13.33,-87.81,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859,8,25,NA,NA,NA,884,NA, HONDURAS,13.33,-87.81,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859,9,25,NA,NA,NA,887,NA,"INDONESIA:  NEIRA I, LONTHOR I",-5.5,130.5,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859,10,5,12,0,NA,888,NA,CHILE,-27.35,-70.35,NA,7.6,10,10,NA,NA,0.93,339,NA,10,NA,NA,NA,339,NA
1859,12,9,2,0,NA,894,NA,EL SALVADOR,13.7,-89.8,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859,12,9,2,0,NA,894,NA, GUATEMALA,13.7,-89.8,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859,12,9,2,0,NA,894,NA, NICARAGUA,13.7,-89.8,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860,4,8,11,NA,NA,897,NA,HAITI: ANSE-A-VEAU,18.52,-73.35,NA,7.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861,2,16,NA,NA,NA,904,NA,"INDONESIA:  LAGUNDI, SIMUK, TELLO I",-1,97.5,70,8.5,9,NA,NA,NA,NA,NA,NA,1105,NA,NA,NA,NA,NA
1861,3,9,NA,NA,NA,907,NA,INDONESIA:  SW. SUMATRA,0.009,98,20,7,NA,NA,NA,NA,NA,96,NA,950,NA,NA,NA,96,NA
1861,4,26,NA,NA,NA,909,NA,INDONESIA:  SW. SUMATRA,1,97.5,70,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861,6,17,NA,NA,NA,913,NA,INDONESIA:  SW. SUMATRA,1,97.5,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861,7,19,NA,NA,NA,NA,NA,CHINA:  LIAONING PROVINCE,39.1,121.7,NA,6,8,2,NA,8,NA,780,NA,2,NA,8,NA,780,NA
1861,9,25,NA,NA,NA,914,NA,INDONESIA:  SW. SUMATRA,-1.5,100,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861,10,20,17,30,NA,915,NA,JAPAN:  HONSHU:  MIYAGI PREFECTURE,38.5,142,NA,7.4,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,70,NA
1861,12,26,5,NA,NA,918,NA,"GREECE:  ACHAIE,VALYMITIKA,TRIPOLIS",38.2,22.2,NA,7.5,10,17,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA
1862,1,12,7,19,NA,5835,NA,RUSSIA: LAKE BAYKAL (BAIKAL),52.3,106.7,40,7.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1862,3,4,9,30,NA,920,NA,"PHILIPPINES:  S LUZON ISLAND, MINDORO ISLAND",14.5,121,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1862,5,27,NA,NA,NA,922,NA,CALIFORNIA:  SAN DIEGO,32.7,-117.2,NA,5.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1862,6,6,NA,NA,NA,NA,NA,TAIWAN:  TAINAN,23.4,120,NA,6.5,8,2000,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA
1862,7,10,8,15,0,3560,NA,"GHANA:  ACCRA,CHRISTIANSBORG,ASHANTI,AKWAPIM",7,0.4,NA,6.5,9,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
1862,10,16,NA,NA,0,NA,NA,TURKEY,38.8,30.5,NA,6.1,NA,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1862,12,23,NA,NA,NA,NA,NA,CHINA:  SHANXI PROVINCE,35.5,111.5,NA,5.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863,4,22,20,30,NA,3445,NA,"GREECE:  RHODES, KOS",36.5,28,NA,7.8,11,300,NA,NA,NA,2050,NA,300,NA,NA,NA,2050,NA
1863,4,NA,NA,NA,NA,NA,NA,CHINA:  YUNNAN PROVINCE,26,100.1,NA,5.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863,6,3,11,20,NA,928,NA,"PHILIPPINES:  MANILA, RIZAL, BULACAN",14.5,121,NA,6.5,10,400,NA,2000,NA,1172,NA,400,NA,2000,NA,1172,NA
1863,8,17,NA,NA,NA,929,5624,VANUATU ISLANDS,-19,168.5,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863,9,20,NA,NA,NA,930,NA,"NW. HOKKAIDO ISLAND, JAPAN",44.6,141.5,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863,9,25,NA,NA,NA,NA,NA,CHINA:  XINJIANG,43.8,87.6,NA,5.5,7,9,NA,10,NA,NA,NA,9,NA,10,NA,NA,NA
1863,11,6,NA,NA,NA,NA,NA,"TURKEY:  GALLIPOLI, GEMLIK",40.5,29.1,NA,6.7,9,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
1864,5,23,NA,NA,NA,934,NA,INDONESIA:   IRIAN JAYA:  MANOKWARI,-1,135,NA,7.8,7,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,NA,NA
1864,10,3,NA,NA,NA,NA,NA,"MEXICO:  PUEBLA,VERACRUZ,ACULTZINGO,ACATZINGO",17.5,-100.1,NA,7,NA,20,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA
1864,12,2,NA,NA,NA,NA,NA,"IRAQ:  ZURBATIYAH, BADRAH, TURSAQ, BAGHDAD",33.38,45.98,NA,6.4,8,100,NA,NA,NA,100,NA,100,NA,NA,NA,100,NA
1865,6,NA,NA,NA,NA,NA,NA,"IRAN:  SHIRAZ, DARVESH-ASUH",29.6,53.1,NA,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865,10,8,20,46,NA,940,NA,CALIFORNIA:  SANTA CRUZ,37.2,-121.9,NA,6.3,8,NA,NA,NA,0.5,NA,NA,NA,NA,NA,0.5,NA,NA
1865,10,19,14,0,NA,942,NA,"PHILIPPINES:  SE LUZON:  TIWI,LUBAN,RINCONADA",13.25,123.5,NA,6,NA,NA,NA,NA,NA,223,NA,NA,NA,NA,NA,223,NA
1865,11,18,NA,NA,NA,943,NA,TONGA ISLANDS,-19.5,-173.5,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1866,1,2,9,NA,0,945,NA,"ALBANIA:  NARTA, VLORE, KANINA",40.4,19.5,NA,6.6,10,60,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA
1866,1,31,NA,NA,NA,948,NA,GREECE: THERA ISLAND (SANTORINI),36.4,25.3,NA,6.1,7,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,52,NA
1866,2,2,NA,NA,NA,950,NA,GREECE:  AEGEAN SEA,38.4,26,NA,6.4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
