Location Name,Year,Mo,Dy,Latitude,Longitude,Total Deaths,Mag
GUATEMALA:  SOUTHWEST; MEXICO:  CHIAPAS,1993,9,10,14.717,-92.645,1,7.2
"MEXICO:  GUERRERO, OAXACA, PUEBLA, MEXICO CITY",1995,9,14,16.779,-98.597,3,7.4
"MEXICO:  JALISCO, MANZANILLO, SAN PATRICIO MELAQUE",1995,10,9,19.055,-104.205,50,8
MEXICO:  OFF COAST OF GUERRERO,1996,2,25,15.978,-98.07,NA,7.1
"MEXICO:  MICHOACAN, ARTEAGA",1997,1,11,18.219,-102.756,1,7.2
"MEXICO:  OAXACA, SAN AGUSTIN, SAN FRANCISCO",1998,2,3,15.883,-96.298,NA,6.3
"MEXICO:  PUEBLA, VERACRUZ, OAXACA, MORELOS, GUERRERO",1999,6,15,18.386,-97.436,20,7
MEXICO:  GUERRERO:  COAHUAYUTLA; MICHOACAN: CUITZEO,1999,6,21,18.324,-101.539,NA,6.3
MEXICO:  OAXACA,1999,9,30,16.059,-96.931,35,7.5
"MEXICO:  VERACRUZ:  SAN ANDRES TUXTLA, TUXTEPEC",2002,1,30,18.194,-95.908,NA,5.9
"MEXICO:  MEXICALI, BAJA CALIFORNIA",2002,2,22,32.319,-115.322,NA,5.5
MEXICO:  ACAPULCO,2002,9,25,16.87,-100.113,NA,5.3
"MEXICO:  VILLA DE ALVAREZ, COLIMA, TECOMAN, JALISCO",2003,1,22,18.77,-104.104,29,7.5
"MEXICO:  GUERRERO, MEXICO CITY",2004,1,1,17.488,-101.303,NA,6.1
GULF OF MEXICO,2006,9,10,26.319,-86.606,NA,5.8
"MEXICO:  GUERRERO, ATOYAC",2007,4,13,17.302,-100.198,NA,6
MEXICO:  BAJA CALIFORNIA,2008,2,9,32.456,-115.315,NA,5.1
MEXICO:  MEXICALI,2009,12,30,32.437,-115.165,NA,5.9
MEXICO:  BAJA CALIFORNIA,2010,4,4,32.297,-115.278,2,7.2
MEXICO:  SAN ANDRES HUAXPALTEPEC,2010,6,30,16.396,-97.782,1,6.2
MEXICO:  GUERRERO,2011,12,11,17.844,-99.963,2,6.4
"MEXICO:  GUERRERO, OAXACA",2012,3,20,16.493,-98.231,2,7.4
MEXICO:  MICHOACAN: LAZARO CARDENAS,2013,4,22,18.081,-102.182,NA,6
"MEXICO:  SAN MARCOS, ACAPULCO",2013,8,21,16.878,-99.498,NA,6.2
MEXICO:  GUERRERO; MEXICO CITY,2014,4,18,17.397,-100.972,NA,7.2
MEXICO:  TECPAN,2014,5,8,17.235,-100.746,NA,6.4
MEXICO; GUATEMALA:  SAN MARCOS,2014,7,7,14.724,-92.461,3,6.9
MEXICO:  OAXACA,2014,7,29,17.682,-95.653,1,6.3
MEXICO:  COCOTITLAN,2015,12,17,15.802,-93.633,2,6.6
"GUATEMALA: QUETZALTENANGO, SUCHITEPEQUEZ; MEXICO",2017,6,14,14.909,-92.009,5,6.9
